Airline,Aircraft,Day,Time,Price ( AUD )
Quantas,QF422,29 Sep 2024,8:30 AM,508
Quantas,QF426,29 Sep 2024,9:00 AM,590
Quantas,QF430,29 Sep 2024,9:30 AM,590
Quantas,QF432,29 Sep 2024,10:00 AM,590
Quantas,QF436,29 Sep 2024,11:00 AM,590
Quantas,QF440,29 Sep 2024,12:00 PM,590
Quantas,QF444,29 Sep 2024,1:00 PM,590
Quantas,QF448,29 Sep 2024,2:00 PM,590
Quantas,QF454,29 Sep 2024,3:00 PM,590
Quantas,QF462,29 Sep 2024,4:00 PM,590
Quantas,QF464,29 Sep 2024,4:15 PM,
Quantas,QF466,29 Sep 2024,4:30 PM,590
Quantas,QF470,29 Sep 2024,5:00 PM,590
Quantas,QF472,29 Sep 2024,5:15 PM,
Quantas,QF478,29 Sep 2024,6:00 PM,590
Quantas,QF498,29 Sep 2024,9:00 PM,508
Quantas,QF402,30 Sep 2024,6:00 AM,508
Quantas,QF406,30 Sep 2024,6:30 AM,320
Quantas,QF410,30 Sep 2024,7:00 AM,215
Quantas,QF414,30 Sep 2024,7:30 AM,215
Quantas,QF418,30 Sep 2024,8:00 AM,215
Quantas,QF422,30 Sep 2024,8:30 AM,215
Quantas,QF426,30 Sep 2024,9:00 AM,270
Quantas,QF430,30 Sep 2024,9:30 AM,
Quantas,QF432,30 Sep 2024,10:00 AM,320
Quantas,QF436,30 Sep 2024,11:00 AM,320
Quantas,QF440,30 Sep 2024,12:00 PM,436
Quantas,QF444,30 Sep 2024,1:00 PM,320
Quantas,QF448,30 Sep 2024,2:00 PM,375
Quantas,QF454,30 Sep 2024,3:00 PM,320
Quantas,QF462,30 Sep 2024,3:55 PM,270
Quantas,QF464,30 Sep 2024,4:15 PM,270
Quantas,QF466,30 Sep 2024,4:30 PM,270
Quantas,QF470,30 Sep 2024,5:00 PM,215
Quantas,QF472,30 Sep 2024,5:15 PM,215
Quantas,QF478,30 Sep 2024,6:00 PM,270
Quantas,QF498,30 Sep 2024,9:00 PM,179
Quantas,QF402,1 Oct 2024,6:00 AM,179
Quantas,QF406,1 Oct 2024,6:30 AM,179
Quantas,QF410,1 Oct 2024,7:00 AM,375
Quantas,QF414,1 Oct 2024,7:30 AM,320
Quantas,QF418,1 Oct 2024,8:00 AM,179
Quantas,QF422,1 Oct 2024,8:30 AM,179
Quantas,QF426,1 Oct 2024,9:00 AM,179
Quantas,QF430,1 Oct 2024,9:30 AM,
Quantas,QF432,1 Oct 2024,10:00 AM,215
Quantas,QF436,1 Oct 2024,11:00 AM,270
Quantas,QF440,1 Oct 2024,12:00 PM,270
Quantas,QF444,1 Oct 2024,1:00 PM,270
Quantas,QF448,1 Oct 2024,2:00 PM,270
Quantas,QF454,1 Oct 2024,3:00 PM,215
Quantas,QF462,1 Oct 2024,3:55 PM,179
Quantas,QF464,1 Oct 2024,4:15 PM,179
Quantas,QF466,1 Oct 2024,4:30 PM,179
Quantas,QF470,1 Oct 2024,5:00 PM,179
Quantas,QF472,1 Oct 2024,5:15 PM,
Quantas,QF478,1 Oct 2024,6:00 PM,375
Quantas,QF498,1 Oct 2024,9:00 PM,179
Quantas,QF402,2 Oct 2024,6:00 AM,215
Quantas,QF406,2 Oct 2024,6:30 AM,179
Quantas,QF410,2 Oct 2024,7:00 AM,215
Quantas,QF414,2 Oct 2024,7:30 AM,179
Quantas,QF418,2 Oct 2024,8:00 AM,179
Quantas,QF422,2 Oct 2024,8:30 AM,179
Quantas,QF426,2 Oct 2024,9:00 AM,179
Quantas,QF430,2 Oct 2024,9:30 AM,
Quantas,QF432,2 Oct 2024,10:00 AM,179
Quantas,QF436,2 Oct 2024,11:00 AM,215
Quantas,QF440,2 Oct 2024,12:00 PM,320
Quantas,QF444,2 Oct 2024,1:00 PM,375
Quantas,QF448,2 Oct 2024,2:00 PM,320
Quantas,QF454,2 Oct 2024,3:00 PM,320
Quantas,QF462,2 Oct 2024,4:00 PM,270
Quantas,QF464,2 Oct 2024,4:15 PM,179
Quantas,QF466,2 Oct 2024,4:30 PM,179
Quantas,QF470,2 Oct 2024,5:00 PM,270
Quantas,QF472,2 Oct 2024,5:15 PM,179
Quantas,QF478,2 Oct 2024,6:00 PM,215
Quantas,QF498,2 Oct 2024,9:00 PM,179
Quantas,QF402,3 Oct 2024,6:00 AM,179
Quantas,QF406,3 Oct 2024,6:30 AM,179
Quantas,QF410,3 Oct 2024,7:00 AM,179
Quantas,QF414,3 Oct 2024,7:30 AM,179
Quantas,QF418,3 Oct 2024,8:00 AM,179
Quantas,QF422,3 Oct 2024,8:30 AM,179
Quantas,QF426,3 Oct 2024,9:00 AM,215
Quantas,QF430,3 Oct 2024,9:30 AM,
Quantas,QF432,3 Oct 2024,10:00 AM,215
Quantas,QF436,3 Oct 2024,11:00 AM,270
Quantas,QF440,3 Oct 2024,12:00 PM,270
Quantas,QF444,3 Oct 2024,1:00 PM,320
Quantas,QF448,3 Oct 2024,2:00 PM,270
Quantas,QF454,3 Oct 2024,3:00 PM,320
Quantas,QF462,3 Oct 2024,4:00 PM,215
Quantas,QF464,3 Oct 2024,4:15 PM,179
Quantas,QF466,3 Oct 2024,4:30 PM,179
Quantas,QF470,3 Oct 2024,5:00 PM,215
Quantas,QF472,3 Oct 2024,5:15 PM,
Quantas,QF478,3 Oct 2024,6:00 PM,478
Quantas,QF498,3 Oct 2024,9:00 PM,178
Quantas,QF402,4 Oct 2024,6:00 AM,215
Quantas,QF406,4 Oct 2024,6:30 AM,215
Quantas,QF410,4 Oct 2024,7:00 AM,270
Quantas,QF414,4 Oct 2024,7:30 AM,270
Quantas,QF418,4 Oct 2024,8:00 AM,320
Quantas,QF422,4 Oct 2024,8:30 AM,320
Quantas,QF426,4 Oct 2024,9:00 AM,320
Quantas,QF430,4 Oct 2024,9:30 AM,375
Quantas,QF432,4 Oct 2024,10:00 AM,375
Quantas,QF436,4 Oct 2024,11:00 AM,375
Quantas,QF440,4 Oct 2024,12:00 PM,436
Quantas,QF444,4 Oct 2024,12:55 PM,436
Quantas,QF448,4 Oct 2024,2:00 PM,436
Quantas,QF454,4 Oct 2024,3:00 PM,436
Quantas,QF462,4 Oct 2024,3:55 PM,436
Quantas,QF464,4 Oct 2024,4:15 PM,320
Quantas,QF466,4 Oct 2024,4:30 PM,320
Quantas,QF470,4 Oct 2024,5:00 PM,270
Quantas,QF472,4 Oct 2024,5:15 PM,270
Quantas,QF478,4 Oct 2024,6:00 PM,270
Quantas,QF498,4 Oct 2024,9:00 PM,270
Quantas,QF402,5 Oct 2024,6:00 AM,320
Quantas,QF406,5 Oct 2024,6:30 AM,179
Quantas,QF410,5 Oct 2024,7:00 AM,179
Quantas,QF414,5 Oct 2024,7:30 AM,179
Quantas,QF418,5 Oct 2024,8:00 AM,215
Quantas,QF422,5 Oct 2024,8:30 AM,215
Quantas,QF426,5 Oct 2024,9:00 AM,270
Quantas,QF430,5 Oct 2024,9:30 AM,270
Quantas,QF432,5 Oct 2024,10:00 AM,270
Quantas,QF436,5 Oct 2024,11:00 AM,320
Quantas,QF440,5 Oct 2024,12:00 PM,320
Quantas,QF444,5 Oct 2024,1:00 PM,320
Quantas,QF448,5 Oct 2024,2:00 PM,320
Quantas,QF454,5 Oct 2024,3:00 PM,320
Quantas,QF462,5 Oct 2024,4:00 PM,320
