Airline,Aircraft,Day,Time,Price ( AUD ),Scheduled Time,Actual Time
jetstar,jq512,23 sep 2024,12.0,327.0,12:25 PM,12:32 PM
jetstar,jq512,24 aug 2024,14.0,230.0,12:25 PM,12:51 PM
jetstar,jq512,24 sep 2024,12.0,176.0,12:25 PM,12:51 PM
jetstar,jq512,25 aug 2024,14.0,230.0,12:25 PM,12:51 PM
jetstar,jq512,25 sep 2024,12.0,141.0,12:25 PM,12:51 PM
jetstar,jq512,26 aug 2024,14.0,230.0,12:25 PM,12:52 PM
jetstar,jq512,26 sep 2024,12.0,230.0,12:25 PM,12:52 PM
jetstar,jq512,27 aug 2024,14.0,230.0,12:25 PM,1:01 PM
jetstar,jq512,27 sep 2024,12.0,176.0,12:25 PM,1:01 PM
jetstar,jq512,28 aug 2024,14.0,230.0,12:25 PM,1:38 PM
jetstar,jq512,28 sep 2024,12.0,113.0,12:25 PM,1:38 PM
jetstar,jq512,29 aug 2024,14.0,230.0,12:25 PM,12:47 PM
jetstar,jq512,29 sep 2024,12.0,566.0,12:25 PM,12:47 PM
jetstar,jq512,3 oct 2024,12.0,158.0,12:25 PM,12:47 PM
jetstar,jq512,30 aug 2024,14.0,230.0,12:25 PM,12:47 PM
jetstar,jq512,30 sep 2024,12.0,176.0,12:25 PM,12:47 PM
jetstar,jq512,31 aug 2024,14.0,230.0,12:25 PM,12:53 PM
jetstar,jq512,4 oct 2024,12.0,198.0,12:25 PM,12:53 PM
jetstar,jq512,5 oct 2024,12.0,176.0,12:25 PM,12:53 PM
jetstar,jq512,6 oct 2024,12.0,176.0,12:25 PM,12:53 PM
jetstar,jq518,02 aug 2024,14.0,230.0,2:25 PM,2:45 PM
jetstar,jq518,03 aug 2024,14.0,230.0,2:25 PM,3:07 PM
jetstar,jq518,04 aug 2024,14.0,230.0,2:25 PM,2:49 PM
jetstar,jq518,05 aug 2024,14.0,230.0,2:25 PM,3:15 PM
jetstar,jq518,06 aug 2024,14.0,230.0,2:25 PM,2:50 PM
jetstar,jq518,07 aug 2024,14.0,230.0,2:25 PM,3:24 PM
jetstar,jq518,08 aug 2024,14.0,230.0,2:25 PM,2:51 PM
jetstar,jq518,09 aug 2024,14.0,230.0,2:25 PM,2:37 PM
jetstar,jq518,1 aug 2024,14.0,230.0,2:25 PM,2:53 PM
jetstar,jq518,1 oct 2024,14.0,99.0,2:25 PM,2:53 PM
jetstar,jq518,10 aug 2024,14.0,230.0,2:25 PM,2:50 PM
jetstar,jq518,11 aug 2024,14.0,230.0,2:25 PM,2:40 PM
jetstar,jq518,12 aug 2024,14.0,230.0,2:25 PM,2:56 PM
jetstar,jq518,13 aug 2024,14.0,230.0,2:25 PM,2:35 PM
jetstar,jq518,14 aug 2024,14.0,230.0,2:25 PM,3:30 PM
jetstar,jq518,15 aug 2024,14.0,230.0,2:25 PM,2:53 PM
jetstar,jq518,16 aug 2024,14.0,230.0,2:25 PM,2:58 PM
jetstar,jq518,17 aug 2024,14.0,230.0,2:25 PM,3:26 PM
jetstar,jq518,18 aug 2024,14.0,230.0,2:25 PM,2:38 PM
jetstar,jq518,19 aug 2024,14.0,230.0,2:25 PM,3:02 PM
jetstar,jq518,2 oct 2024,14.0,99.0,2:25 PM,3:02 PM
jetstar,jq518,20 aug 2024,14.0,230.0,2:25 PM,2:55 PM
jetstar,jq518,21 aug 2024,14.0,230.0,2:25 PM,3:27 PM
jetstar,jq518,22 aug 2024,14.0,230.0,2:25 PM,2:58 PM
jetstar,jq518,22 sep 2024,14.0,394.0,2:25 PM,2:58 PM
jetstar,jq518,23 aug 2024,14.0,230.0,2:25 PM,2:35 PM
jetstar,jq518,23 sep 2024,14.0,270.0,2:25 PM,2:35 PM
jetstar,jq518,24 aug 2024,14.0,230.0,2:25 PM,2:45 PM
jetstar,jq518,24 sep 2024,14.0,176.0,2:25 PM,2:45 PM
jetstar,jq518,25 aug 2024,14.0,230.0,2:25 PM,3:21 PM
jetstar,jq518,25 sep 2024,14.0,141.0,2:25 PM,3:21 PM
jetstar,jq518,26 aug 2024,14.0,230.0,2:25 PM,2:48 PM
jetstar,jq518,26 sep 2024,14.0,230.0,2:25 PM,2:48 PM
jetstar,jq518,27 aug 2024,14.0,230.0,2:25 PM,3:13 PM
jetstar,jq518,27 sep 2024,14.0,141.0,2:25 PM,3:13 PM
jetstar,jq518,28 aug 2024,14.0,230.0,2:25 PM,3:38 PM
jetstar,jq518,28 sep 2024,14.0,113.0,2:25 PM,3:38 PM
jetstar,jq518,29 aug 2024,14.0,230.0,2:25 PM,4:02 PM
jetstar,jq518,29 sep 2024,14.0,566.0,2:25 PM,4:02 PM
jetstar,jq518,3 oct 2024,14.0,141.0,2:25 PM,4:02 PM
jetstar,jq518,30 aug 2024,14.0,230.0,2:25 PM,3:44 PM
jetstar,jq518,30 sep 2024,14.0,141.0,2:25 PM,3:44 PM
jetstar,jq518,31 aug 2024,14.0,230.0,2:25 PM,2:36 PM
jetstar,jq518,4 oct 2024,14.0,230.0,2:25 PM,2:36 PM
jetstar,jq518,5 oct 2024,14.0,158.0,2:25 PM,2:36 PM
jetstar,jq518,6 oct 2024,14.0,176.0,2:25 PM,2:36 PM
jetstar,jq520,02 aug 2024,14.0,230.0,3:25 PM,2:36 PM
jetstar,jq520,03 aug 2024,14.0,230.0,3:25 PM,3:48 PM
jetstar,jq520,04 aug 2024,14.0,230.0,3:25 PM,3:53 PM
jetstar,jq520,05 aug 2024,14.0,230.0,3:25 PM,3:39 PM
jetstar,jq520,06 aug 2024,14.0,230.0,3:25 PM,3:47 PM
jetstar,jq520,07 aug 2024,14.0,230.0,3:25 PM,3:49 PM
jetstar,jq520,08 aug 2024,14.0,230.0,3:25 PM,4:28 PM
jetstar,jq520,09 aug 2024,14.0,230.0,3:25 PM,3:34 PM
jetstar,jq520,1 aug 2024,14.0,230.0,3:25 PM,3:30 PM
jetstar,jq520,1 oct 2024,15.0,79.0,3:25 PM,3:30 PM
jetstar,jq520,10 aug 2024,14.0,230.0,3:25 PM,3:45 PM
jetstar,jq520,11 aug 2024,14.0,230.0,3:25 PM,3:41 PM
jetstar,jq520,12 aug 2024,14.0,230.0,3:25 PM,3:51 PM
jetstar,jq520,13 aug 2024,14.0,230.0,3:25 PM,3:45 PM
jetstar,jq520,14 aug 2024,14.0,230.0,3:25 PM,3:42 PM
jetstar,jq520,15 aug 2024,14.0,230.0,3:25 PM,3:39 PM
jetstar,jq520,16 aug 2024,14.0,230.0,3:25 PM,4:09 PM
jetstar,jq520,17 aug 2024,14.0,230.0,3:25 PM,3:40 PM
jetstar,jq520,18 aug 2024,14.0,230.0,3:25 PM,3:41 PM
jetstar,jq520,19 aug 2024,14.0,230.0,3:25 PM,3:32 PM
jetstar,jq520,2 oct 2024,15.0,90.0,3:25 PM,3:32 PM
jetstar,jq520,20 aug 2024,14.0,230.0,3:25 PM,3:46 PM
jetstar,jq520,21 aug 2024,14.0,230.0,3:25 PM,3:50 PM
jetstar,jq520,22 aug 2024,14.0,230.0,3:25 PM,3:56 PM
jetstar,jq520,22 sep 2024,15.0,394.0,3:25 PM,3:56 PM
jetstar,jq520,23 aug 2024,14.0,230.0,3:25 PM,3:59 PM
jetstar,jq520,23 sep 2024,15.0,270.0,3:25 PM,3:59 PM
jetstar,jq520,24 aug 2024,14.0,230.0,3:25 PM,3:37 PM
jetstar,jq520,24 sep 2024,15.0,176.0,3:25 PM,3:37 PM
jetstar,jq520,25 aug 2024,14.0,230.0,3:25 PM,4:29 PM
jetstar,jq520,25 sep 2024,15.0,141.0,3:25 PM,4:29 PM
jetstar,jq520,26 aug 2024,14.0,230.0,3:25 PM,4:10 PM
jetstar,jq520,26 sep 2024,15.0,230.0,3:25 PM,4:10 PM
jetstar,jq520,27 aug 2024,14.0,230.0,3:25 PM,3:43 PM
jetstar,jq520,27 sep 2024,15.0,127.0,3:25 PM,3:43 PM
jetstar,jq520,28 aug 2024,14.0,230.0,3:25 PM,3:43 PM
jetstar,jq520,28 sep 2024,15.0,127.0,3:25 PM,3:43 PM
jetstar,jq520,29 aug 2024,14.0,230.0,3:25 PM,4:06 PM
jetstar,jq520,29 sep 2024,15.0,473.0,3:25 PM,4:06 PM
jetstar,jq520,3 oct 2024,15.0,141.0,3:25 PM,4:06 PM
jetstar,jq520,30 aug 2024,14.0,230.0,3:25 PM,3:58 PM
jetstar,jq520,30 sep 2024,15.0,141.0,3:25 PM,3:58 PM
jetstar,jq520,4 oct 2024,15.0,198.0,3:25 PM,3:58 PM
jetstar,jq520,5 oct 2024,15.0,158.0,3:25 PM,3:58 PM
jetstar,jq520,6 oct 2024,15.0,198.0,3:25 PM,3:58 PM
jetstar,jq522,02 aug 2024,14.0,230.0,3:40 PM,4:50 PM
jetstar,jq522,03 aug 2024,14.0,230.0,4:15 PM,4:27 PM
jetstar,jq522,04 aug 2024,14.0,230.0,4:15 PM,4:49 PM
jetstar,jq522,05 aug 2024,14.0,230.0,3:55 PM,4:06 PM
jetstar,jq522,06 aug 2024,14.0,230.0,3:55 PM,4:06 PM
jetstar,jq522,07 aug 2024,14.0,230.0,4:15 PM,4:37 PM
jetstar,jq522,08 aug 2024,14.0,230.0,3:55 PM,4:01 PM
jetstar,jq522,09 aug 2024,14.0,230.0,3:40 PM,3:48 PM
jetstar,jq522,1 aug 2024,14.0,230.0,3:55 PM,4:33 PM
jetstar,jq522,1 oct 2024,16.0,84.0,3:55 PM,4:33 PM
jetstar,jq522,10 aug 2024,14.0,230.0,4:15 PM,4:35 PM
jetstar,jq522,11 aug 2024,14.0,230.0,4:15 PM,4:36 PM
jetstar,jq522,12 aug 2024,14.0,230.0,3:55 PM,4:10 PM
jetstar,jq522,13 aug 2024,14.0,230.0,4:15 PM,4:27 PM
jetstar,jq522,14 aug 2024,14.0,230.0,4:15 PM,4:48 PM
jetstar,jq522,15 aug 2024,14.0,230.0,3:55 PM,4:03 PM
jetstar,jq522,16 aug 2024,14.0,230.0,3:55 PM,4:03 PM
jetstar,jq522,17 aug 2024,14.0,230.0,4:15 PM,4:19 PM
jetstar,jq522,18 aug 2024,14.0,230.0,4:15 PM,5:09 PM
jetstar,jq522,19 aug 2024,14.0,230.0,3:55 PM,4:10 PM
jetstar,jq522,2 oct 2024,16.0,84.0,3:55 PM,4:10 PM
jetstar,jq522,20 aug 2024,14.0,230.0,4:15 PM,4:46 PM
jetstar,jq522,21 aug 2024,14.0,230.0,4:15 PM,5:17 PM
jetstar,jq522,22 aug 2024,14.0,230.0,3:55 PM,4:16 PM
jetstar,jq522,22 sep 2024,16.0,394.0,3:55 PM,4:16 PM
jetstar,jq522,23 aug 2024,14.0,230.0,3:40 PM,3:54 PM
jetstar,jq522,23 sep 2024,15.0,230.0,3:40 PM,3:54 PM
jetstar,jq522,24 aug 2024,14.0,230.0,4:15 PM,4:31 PM
jetstar,jq522,24 sep 2024,16.0,198.0,4:15 PM,4:31 PM
jetstar,jq522,25 aug 2024,14.0,230.0,4:15 PM,5:13 PM
jetstar,jq522,25 sep 2024,16.0,127.0,4:15 PM,5:13 PM
jetstar,jq522,26 aug 2024,14.0,230.0,3:55 PM,4:04 PM
